#ZRXPVERSION2209.265|*|ZRXPMODEStandard|*|ZRXPCREATORZRXP-Fileexport|*|TZUTC-8|*|
#TSPATH/0a/T008E1/TAPE/Tape.Obs.Read|*|CUNITft|*|RINVAL-777|*|
#SNAMET.H. 008E1(IFS T.H. #E' USGS SITE 8)|*|SANRT008E1|*|CNAMETape|*|
#LAYOUT(timestamp,value,remark)|*|
#ZRXPVERSION2209.265|*|ZRXPMODEStandard|*|ZRXPCREATORZRXP-Fileexport|*|TZUTC-8|*|
#TSPATH/0a/TT19/TAPE/Tape.Obs.Read|*|CUNITft|*|RINVAL-777|*|
#SNAMET.H. T19(TINEMAHA DAM)|*|SANRTT19|*|CNAMETape|*|
#LAYOUT(timestamp,value,remark)|*|
#ZRXPVERSION2209.265|*|ZRXPMODEStandard|*|ZRXPCREATORZRXP-Fileexport|*|TZUTC-8|*|
#TSPATH/0a/V859/TAPE/Tape.Obs.Read|*|CUNITft|*|RINVAL-777|*|
#SNAMEOBS WELL V859(MANZANAR DOMESTIC WELL)|*|SANRV859|*|CNAMETape|*|
#LAYOUT(timestamp,value,remark)|*|
#ZRXPVERSION2209.265|*|ZRXPMODEStandard|*|ZRXPCREATORZRXP-Fileexport|*|TZUTC-8|*|
#TSPATH/0a/W077/TAPE/Tape.Obs.Read|*|CUNITft|*|RINVAL-777|*|
#SNAMEWELL 077(PUMPING WELL #77)|*|SANRW077|*|CNAMETape|*|
#LAYOUT(timestamp,value,remark)|*|
#ZRXPVERSION2209.265|*|ZRXPMODEStandard|*|ZRXPCREATORZRXP-Fileexport|*|TZUTC-8|*|
#TSPATH/0a/W349/TAPE/Tape.Obs.Read|*|CUNITft|*|RINVAL-777|*|
#SNAMEWELL 349(PUMPING WELL #349 @ CHARLIES BUTTE)|*|SANRW349|*|CNAMETape|*|
#LAYOUT(timestamp,value,remark)|*|
#ZRXPVERSION2209.265|*|ZRXPMODEStandard|*|ZRXPCREATORZRXP-Fileexport|*|TZUTC-8|*|
#TSPATH/0a/F022/TAPE/Tape.Obs.Read|*|CUNITft|*|RINVAL-777|*|
#SNAMEFLOWING WELL 022|*|SANRF022|*|CNAMETape|*|
#LAYOUT(timestamp,value,remark)|*|
#ZRXPVERSION2209.265|*|ZRXPMODEStandard|*|ZRXPCREATORZRXP-Fileexport|*|TZUTC-8|*|
#TSPATH/0a/F054/TAPE/Tape.Obs.Read|*|CUNITft|*|RINVAL-777|*|
#SNAMEFLOWING WELL 054|*|SANRF054|*|CNAMETape|*|
#LAYOUT(timestamp,value,remark)|*|
#ZRXPVERSION2209.265|*|ZRXPMODEStandard|*|ZRXPCREATORZRXP-Fileexport|*|TZUTC-8|*|
#TSPATH/0a/T013N1/TAPE/Tape.Obs.Read|*|CUNITft|*|RINVAL-777|*|
#SNAMET.H. 013N1(ISS T.H. #N' USGS SITE 13)|*|SANRT013N1|*|CNAMETape|*|
#LAYOUT(timestamp,value,remark)|*|
#ZRXPVERSION2209.265|*|ZRXPMODEStandard|*|ZRXPCREATORZRXP-Fileexport|*|TZUTC-8|*|
#TSPATH/0a/T403/TAPE/Tape.Obs.Read|*|CUNITft|*|RINVAL-777|*|SNAMET.H. 403|*|
#SANRT403|*|CNAMETape|*|
#LAYOUT(timestamp,value,remark)|*|
20221101111000 8.60
20221116091700 8.55
20221213141500 7.44
20230123075800 7.79
20230215135200 6.50
20230329135800 6.44
20230401143800 6.18
20230515093400 6.36
20230817121700 7.40
20230927085100 6.90
#ZRXPVERSION2209.265|*|ZRXPMODEStandard|*|ZRXPCREATORZRXP-Fileexport|*|TZUTC-8|*|
#TSPATH/0a/T411/TAPE/Tape.Obs.Read|*|CUNITft|*|RINVAL-777|*|SNAMET.H. 411|*|
#SANRT411|*|CNAMETape|*|
#LAYOUT(timestamp,value,remark)|*|
20221031085100 8.40
20230120090900 6.49
20230421120700 0.00
20230729074600 0.00
#ZRXPVERSION2209.265|*|ZRXPMODEStandard|*|ZRXPCREATORZRXP-Fileexport|*|TZUTC-8|*|
#TSPATH/0a/T508/TAPE/Tape.Obs.Read|*|CUNITft|*|RINVAL-777|*|SNAMET.H. 508|*|
#SANRT508|*|CNAMETape|*|
#LAYOUT(timestamp,value,remark)|*|
20221027134100 13.86
20230120142000 12.07
20230416141000 9.65
20230725140200 5.52
#ZRXPVERSION2209.265|*|ZRXPMODEStandard|*|ZRXPCREATORZRXP-Fileexport|*|TZUTC-8|*|
#TSPATH/0a/T541/TAPE/Tape.Obs.Read|*|CUNITft|*|RINVAL-777|*|SNAMET.H. 541|*|
#SANRT541|*|CNAMETape|*|
#LAYOUT(timestamp,value,remark)|*|
#ZRXPVERSION2209.265|*|ZRXPMODEStandard|*|ZRXPCREATORZRXP-Fileexport|*|TZUTC-8|*|
#TSPATH/0a/T722/TAPE/Tape.Obs.Read|*|CUNITft|*|RINVAL-777|*|SNAMET.H. 722|*|
#SANRT722|*|CNAMETape|*|
#LAYOUT(timestamp,value,remark)|*|
20221013113000 20.32
20230419145600 20.19
#ZRXPVERSION2209.265|*|ZRXPMODEStandard|*|ZRXPCREATORZRXP-Fileexport|*|TZUTC-8|*|
#TSPATH/0a/TT01/TAPE/Tape.Obs.Read|*|CUNITft|*|RINVAL-777|*|
#SNAMET.H. T01 (TINEMAHA DAM)|*|SANRTT01|*|CNAMETape|*|
#LAYOUT(timestamp,value,remark)|*|
#ZRXPVERSION2209.265|*|ZRXPMODEStandard|*|ZRXPCREATORZRXP-Fileexport|*|TZUTC-8|*|
#TSPATH/0a/V012/TAPE/Tape.Obs.Read|*|CUNITft|*|RINVAL-777|*|
#SNAMEOBS WELL 012(REINHACKLE SPGS.PRESSURE WELL)|*|SANRV012|*|CNAMETape|*|
#LAYOUT(timestamp,value,remark)|*|
20221019153500 0.00
20221116152200 0.00
20221214142500 0.00
20230124094700 0.00
20230817130100 0.00
#ZRXPVERSION2209.265|*|ZRXPMODEStandard|*|ZRXPCREATORZRXP-Fileexport|*|TZUTC-8|*|
#TSPATH/0a/V097/TAPE/Tape.Obs.Read|*|CUNITft|*|RINVAL-777|*|SNAMEOBS WELL 097|*|
#SANRV097|*|CNAMETape|*|
#LAYOUT(timestamp,value,remark)|*|
20221020103700 0.00
20221128081900 0.00
20221215135400 0.00
20230123144000 0.00
20230221111000 0.00
20230328122200 0.00
20230423123100 0.00
20230513095100 0.00
20230728090600 0.00
20230926124000 0.00
#ZRXPVERSION2209.265|*|ZRXPMODEStandard|*|ZRXPCREATORZRXP-Fileexport|*|TZUTC-8|*|
