#ZRXPVERSION2209.265|*|ZRXPMODEStandard|*|ZRXPCREATORZRXP-Fileexport|*|TZUTC-8|*|
#TSPATH/0a/T381/GW/GW.WaterSurfaceElev|*|CUNITft|*|RINVAL-777|*|SNAMET.H. 381|*|
#SANRT381|*|CNAMEGroundWater|*|
#LAYOUT(timestamp,value)|*|
20221018073000 3798.25
20230416095000 3802.00
#ZRXPVERSION2209.265|*|ZRXPMODEStandard|*|ZRXPCREATORZRXP-Fileexport|*|TZUTC-8|*|
#TSPATH/0a/T550/GW/GW.WaterSurfaceElev|*|CUNITft|*|RINVAL-777|*|SNAMET.H. 550|*|
#SANRT550|*|CNAMEGroundWater|*|
#LAYOUT(timestamp,value)|*|
20221024142700 3797.94
20230421104000 3803.31
#ZRXPVERSION2209.265|*|ZRXPMODEStandard|*|ZRXPCREATORZRXP-Fileexport|*|TZUTC-8|*|
#TSPATH/0a/T610/GW/GW.WaterSurfaceElev|*|CUNITft|*|RINVAL-777|*|SNAMET.H. 610|*|
#SANRT610|*|CNAMEGroundWater|*|
#LAYOUT(timestamp,value)|*|
20221031132600 3844.91
20230421155600 3851.61
#ZRXPVERSION2209.265|*|ZRXPMODEStandard|*|ZRXPCREATORZRXP-Fileexport|*|TZUTC-8|*|
#TSPATH/0a/TT18/GW/GW.WaterSurfaceElev|*|CUNITft|*|RINVAL-777|*|
#SNAMET.H. T18(TINEMAHA DAM)|*|SANRTT18|*|CNAMEGroundWater|*|
#LAYOUT(timestamp,value)|*|
20221031111100 3848.84
20221201111100 3848.91
#ZRXPVERSION2209.265|*|ZRXPMODEStandard|*|ZRXPCREATORZRXP-Fileexport|*|TZUTC-8|*|
#TSPATH/0a/V020/GW/GW.WaterSurfaceElev|*|CUNITft|*|RINVAL-777|*|SNAMEOBS WELL 20|*|
#SANRV020|*|CNAMEGroundWater|*|
#LAYOUT(timestamp,value)|*|
#ZRXPVERSION2209.265|*|ZRXPMODEStandard|*|ZRXPCREATORZRXP-Fileexport|*|TZUTC-8|*|
#TSPATH/0a/V076/GW/GW.WaterSurfaceElev|*|CUNITft|*|RINVAL-777|*|
