date,FTC,LOLU,LOOU,LORPDU,LORPRU,LORPTU,LOWU,MBR,MTWP,OLTU,OVFG,OVGR,OVIR,OVPW,OVR,SHTO
2022-10-01,1076,165,96,577,987,3364,1539,1609,862,8356,3000,0,256,5262,12862,4439
2022-11-01,811,100,39,420,65,1508,883,1271,1484,3881,3109,0,813,4705,12756,1599
2022-12-01,1266,74,50,375,34,1450,917,3356,1592,2383,3343,0,174,4772,14488,2270
2023-01-01,20519,65,-526,1353,-123,1731,963,2289,442,1816,3488,2266,0,2898,19307,17919
2023-02-01,24085,43,-547,643,-724,284,869,2323,0,2066,2920,2237,0,2258,13143,25957
2023-03-01,22781,14,-206,13642,5106,18556,0,4541,0,1043,4012,9482,1,2563,23049,17044
2023-04-01,22068,56,-876,10693,606,10478,0,9020,0,8206,3123,5339,5578,3852,33713,36479
2023-05-01,28863,438,-1608,8586,6176,13593,0,38700,0,9624,3032,14797,7651,4673,117530,46717
2023-06-01,31321,919,-749,25656,7223,33048,0,66900,0,7899,2765,28119,8965,3815,184440,45210
2023-07-01,35307,612,49,14692,1987,17339,0,63938,0,8096,3328,38482,11139,3683,216223,42999
2023-08-01,27674,246,-264,17669,-56,17595,0,21252,0,2387,3218,30426,108225,3675,119109,32848
2023-09-01,26198,158,255,7743,808,8964,0,9374,0,360,3267,17056,5947,3632,58705,30974
