mon_pt_id,site_id,mon_pt_name,mon_pt_lat,mon_pt_long,coord_sys,county,hide_from_public
1,1,01S32E29D001M,37.8372,-118.4754,NAD83,Mono,0
2,1,01S32E31J002M,37.8156,-118.48,NAD83,Mono,0
3,1,01S32E32E001M,37.8192,-118.4754,NAD83,Mono,0
4,1,04S33E08M001M,37.6142,-118.3648,NAD83,Mono,0
5,1,05S33E09X001M,37.5295,-118.3594,NAD83,Mono,0
6,1,05S33E18D001M,37.5203,-118.4027,NAD83,Mono,0
7,1,06S31E05H001M,37.4584,-118.59,NAD83,Inyo,0
8,1,06S31E17B001M,37.4329,-118.5945,NAD83,Inyo,0
9,1,06S31E19G001M,37.4147,-118.6128,NAD83,Inyo,0
10,1,06S31E20H001M,37.4147,-118.59,NAD83,Inyo,0
11,1,06S31E21D001M,37.4183,-118.5854,NAD83,Inyo,0
12,1,06S31E22B001M,37.4183,-118.558,NAD83,Inyo,0
13,1,06S31E23N001M,37.4075,-118.5488,NAD83,Inyo,0
14,1,06S31E26E001M,37.4002,-118.5488,NAD83,Inyo,0
15,1,06S32E25Q001M,37.393,-118.4118,NAD83,Inyo,0
16,1,06S32E31J001M,37.382,-118.4986,NAD83,Inyo,0
17,1,06S32E32M001M,37.382,-118.494,NAD83,Inyo,0
18,1,06S33E21A001M,37.4182,-118.3524,NAD83,Inyo,0
19,1,06S33E27E001M,37.4002,-118.3479,NAD83,Inyo,0
20,1,06S33E33R001M,37.3784,-118.3526,NAD83,Inyo,0
21,1,07S31E23J004M,37.325222,-118.534361,NAD83,Inyo,0
22,1,07S32E02Q001M,37.3638,-118.4301,NAD83,Inyo,0
23,1,07S32E11K001M,37.3515,-118.431306,NAD83,Inyo,0
24,1,07S32E12E001M,37.3564,-118.4209,NAD83,Inyo,0
25,1,07S33E03L001M,37.3674,-118.3434,NAD83,Inyo,0
26,1,07S33E04M001M,37.3674,-118.3662,NAD83,Inyo,0
27,1,07S33E10H001M,37.3564,-118.3343,NAD83,Inyo,0
28,1,07S33E14D001M,37.3455,-118.3296,NAD83,Inyo,0
29,1,07S33E21L001M,37.3234,-118.3605,NAD83,Inyo,0
30,1,07S33E23G001M,37.3273,-118.3205,NAD83,Inyo,0
31,1,07S33E23J001M,37.3237,-118.316,NAD83,Inyo,0
32,1,07S33E25K001M,37.3091,-118.3023,NAD83,Inyo,0
33,1,07S33E26C001M,37.3163,-118.3251,NAD83,Inyo,0
34,1,07S33E34G001M,37.2837,-118.3393,NAD83,Inyo,0
35,1,07S33E36D001M,37.3018,-118.3114,NAD83,Inyo,0
36,1,08S33E02B001M,37.2872,-118.3205,NAD83,Inyo,0
37,1,08S33E03G001M,37.2832,-118.3382,NAD83,Inyo,0
38,1,08S33E05G001M,37.2836,-118.3753,NAD83,Inyo,0
39,1,08S33E06R001M,37.2764,-118.3891,NAD83,Inyo,0
40,1,08S33E17G001SM,37.2545,-118.3753,NAD83,Inyo,0
41,1,08S33E24M001M,37.2363,-118.3114,NAD83,Inyo,0
42,1,08S33E26J001M,37.2276,-118.306,NAD83,Inyo,0
43,1,09S34E06P001M,37.1898,-118.3002,NAD83,Inyo,0
44,1,09S34E22R002M,37.1429,-118.236,NAD83,Inyo,0
45,1,09S34E27D003M,37.1429,-118.2527,NAD83,Inyo,0
46,1,09S34E28A001M,37.1439,-118.2539,NAD83,Inyo,0
47,1,09S34E28A002M,37.1439,-118.2539,NAD83,Inyo,0
48,1,09S34E28A003M,37.144,-118.2538,NAD83,Inyo,0
49,1,09S34E33D001M,37.1274,-118.2725,NAD83,Inyo,0
50,1,10S34E03B001M,37.1132,-118.2432,NAD83,Inyo,0
51,1,10S34E03N001M,37.1043,-118.2535,NAD83,Inyo,0
52,1,10S34E26F001M,37.0506,-118.2318,NAD83,Inyo,0
53,1,11S34E02K001M,37.0177,-118.2272,NAD83,Inyo,0
54,1,12S34E02C001M,36.9396,-118.2296,NAD83,Inyo,0
55,1,12S34E22K001M,36.886,-118.2453,NAD83,Inyo,0
56,1,12S34E26E001M,36.875,-118.2363,NAD83,Inyo,0
57,1,12S34E26P001M,36.8678,-118.2318,NAD83,Inyo,0
58,1,1300514-001,37.418472,-118.586222,NAD83,Inyo,0
59,1,1300643-001,36.28661,-118.011481,NAD83,Inyo,0
60,1,13S34E01A002M,36.8371,-118.2227,NAD83,Inyo,0
61,1,13S34E01G002M,36.8343,-118.2279,NAD83,Inyo,0
62,1,13S34E01H001M,36.8351,-118.2232,NAD83,Inyo,0
63,1,13S34E01H002M,36.8365,-118.2241,NAD83,Inyo,0
64,1,13S34E01L001M,36.8329,-118.2318,NAD83,Inyo,0
