staid,GSE
F001,3808.40
F002,3809.06
F007,3809.38
F009,3809.38
F015,3837.93
F016,3819.88
F018,3809.71
F022,3808.73
F023,3827.43
F024,3805.77
F025,3809.71
F026,3812.66
F027,3805.77
F028,3815.62
F029,3824.80
F030,3823.82
F031,3805.77
F032,3805.77
F033,3833.66
F034,3802.17
F035,3838.58
F036,3816.60
F037,3801.84
F038,3802.17
F039,3812.66
F040,3807.41
F041,3802.49
F042,3801.51
F043,3802.49
F044,3807.09
F044A,3750.00
F045,3801.18
F045A,3765.09
F046,3818.90
F048,3814.96
F052,3838.25
F053,3837.27
F054,3832.02
F058,3823.16
F077,3850.72
F082,3804.79
F083,3805.45
F084,3824.80
F085,3861.88
F103,3842.52
F104,3838.58
F121,3981.96
F122,3992.45
F123,4003.28
F124,4021.00
F125,4035.43
F126,4028.87
F127,4022.31
F128,4009.19
F129,3996.06
F130,4019.69
F131,4039.04
F132,4047.57
F133,4050.52
F134,4057.09
F136,4074.80
F161,3838.25
F173,3803.15
F367,3789.37
F368,3742.13
F380,3816.27
F381,3815.94
F382,3826.77
F391,3820.54
T001,4492.45
T008D,3776.57
T008D1,3777.56
T008E,3776.25
T008E1,3777.23
T008F,3775.26
T008G,3773.95
T008J,3776.25
T008J1,3777.56
T008K,3776.90
T008K1,3777.89
T008K2,3776.90
T008M,3777.56
T012H,4063.32
T012I,4065.29
T012I1,4065.29
T012J,4066.93
T012J1,4066.93
T012K,4066.60
T012L,4065.29
T012L1,4065.94
T012L2,4065.94
T012M,4067.59
T012P,4066.60
T012Q,4067.26
T012R,4063.65
T012S,4062.99
T012T,4063.98
T012U,4064.63
T012W,4065.94
T012X,4061.68
T013H,3790.35
T013I,3789.37
T013J,3788.71
T013K,3789.37
T013L,3789.70
T013L1,3789.70
T013M,3789.37
T013N,3790.35
T013N1,3790.35
T013P,3788.71
T013P1,3788.71
T013Q,3789.04
T013R,3789.37
T013S,3789.37
T013T,3789.37
T013U,3790.68
T023,3827.76
T024,3809.38
T024A,3809.38
T02AC,4008.53
T02AC1,4008.53
T02AC2,4008.53
T02AD,4008.86
T02AD1,4008.53
T02AE,4008.86
T02AE1,4009.19
T02AE2,4008.86
T02AF,4008.86
T02AF1,4008.86
T02AG,4009.84
T02AH,4016.08
T02AI,4020.34
T02AJ,4008.53
T02AJ1,4008.53
T02AL,4009.19
T02AL1,4009.19
T02AL2,4009.19
T052,3837.60
T052A,3837.60
T107,4159.78
T108,4239.50
T110,4221.78
T110A,4221.78
T136,3848.43
T136A,3848.75
T232,3937.34
T232A,3937.34
T276,4178.81
T276A,4178.81
T302,3879.92
T304A,4134.84
T306A,4161.09
T306B,4161.09
T308,4167.98
T308A,4167.98
T309,4183.07
T311B,4146.33
T312A,4146.98
T313,4138.78
T313A,4138.78
T314,3981.96
T315,3991.80
T315A,3991.80
T316,3996.72
T316A,3996.72
T317,4003.28
T317A,4003.28
T318,4009.19
T318A,4009.19
T319,4019.36
T319A,4019.36
T320,4022.31
T320A,4022.31
T321,4028.87
T321A,4028.87
T322,4035.43
T322A,4035.43
T323,4038.71
T323A,4038.71
T324,4047.57
T324A,4047.57
T325,4050.52
T325A,4050.52
T326,4056.43
T326A,4056.43
T328,4205.38
T328A,4205.38
T330,4073.49
T333A,4230.97
T334,4225.07
T334A,4225.07
T335,4063.32
T336,4180.12
T337A,4255.25
T338,4246.39
T346,3748.36
T347,3634.84
T348,3641.73
T349,
T360,3767.39
T361,3766.08
T362,4076.44
T363,4080.71
T364,3924.21
T372,4187.66
T373,4188.98
T374,3781.82
T375,3767.72
T376,3805.45
T377,3805.77
T378,3674.54
T379,3700.79
T380,3807.41
T381,3805.77
T382,3783.79
T383,3765.09
T384,4182.74
T385,4187.01
T386,4144.36
T387,4210.30
T388,4189.63
T389,4244.09
T390,4265.75
T391,4314.63
T392,4183.07
T393,3736.88
T394,3727.03
T395,3733.60
T396,3720.47
T398,3803.81
T399,3759.84
T400,3746.72
T401,3845.80
T402,3808.07
T403,3824.15
T404,3801.84
T405,3772.97
T406,3765.42
T407,3811.35
T408,3811.02
T409,3828.74
T410,3877.30
T411,3809.71
T412,3816.60
T413,3843.83
T414,3840.22
T415,3825.46
T416,3823.82
T417,3841.86
T418,3835.30
T419,3835.30
T420,3833.01
T421,3863.19
T422,3877.30
T423,3872.05
T424,3869.09
T425,3882.55
T426,3884.51
T427,3887.14
T428,3927.49
T429,3914.04
T430,4124.67
T431,4141.08
T431A,4144.36
T432,4129.59
T433,4229.33
T433A,4083.66
T434,4092.52
T435,4120.41
T436,4113.52
T437,4104.00
T438,4140.42
T439,4143.04
T440,3771.65
T441,3758.20
T442,3723.75
T443,3779.86
T444,3700.79
T445,3690.94
T446,3654.86
T447,3848.75
T448,3741.47
T449,3740.16
T450,3774.28
T451,3773.95
T452,3852.03
T453,3833.33
T454,3815.94
T455,3828.74
T456,3821.85
T457,3813.98
T458,3800.52
T459,3795.60
T460,3797.57
T461,3793.31
T462,3796.59
T463,3789.37
T464,3788.71
T465,3789.37
T466,3796.59
T467,3812.99
T468,3892.39
T469,3921.92
T470,3952.43
T471,3945.54
T472,3936.68
T473,3939.30
T474,3954.07
T475,3957.02
T476,3974.74
T476A,3974.74
T477,3962.93
T478,3980.97
T478A,3980.97
T479,3975.39
T480,4005.91
T481,4024.61
T482,4027.23
T483,4162.40
T484,4078.08
T485,4062.01
T486,3982.94
T487,3998.69
T488,4035.43
T489,4052.82
T490,4079.72
T491,4130.91
T492,4128.94
T493,4133.86
T494,4139.11
T495,4146.33
T496,4094.49
T497,4125.66
T498,4133.86
T499,4098.43
T500,4072.83
T501,4108.27
T502,3843.50
T503,4102.36
T504,3841.21
T505,3840.22
T506,3821.85
T507,3806.43
T508,3782.48
T509,3785.76
T510,3800.52
T511,3809.71
T512,4356.63
T513,4127.95
T514A,4129.59
T515,4129.92
T516,4129.92
T517,4130.25
T518,4026.25
T519,4027.23
T520,4027.23
T521,4027.23
T522,4027.56
T523,3878.28
T524,3877.30
T525,3877.30
T526,3877.30
T527,3877.30
T528,3803.48
T529,3806.10
T530,3806.43
T540,3795.28
T541,3795.28
T543,3797.57
T544,3797.57
T545,3798.23
T546,3827.76
T547,3838.58
T548,3827.76
T549,3856.96
T550,3808.07
T552,3832.02
T553,3903.22
T554,3813.32
T555,3823.82
T556,3852.69
T557,3843.50
T558,3830.38
T559,3863.52
T561,3856.63
T562,3856.96
T563,3748.69
T564,3717.19
T565,3883.86
T566,3880.91
T567,3889.76
T568,3891.40
T569,3906.82
T571,3936.35
T572,3940.62
T573,4093.83
T574,4089.90
T575,4103.02
T576,4127.95
T577,4138.78
T578,4153.54
T579,4185.70
T580,4116.14
T581,3818.57
T582,3829.40
T583,3826.77
T584,3808.07
T585,3833.01
T586,3836.61
T587,3849.74
T588,3707.35
T589,3743.11
T590,3718.50
T591,3730.97
T592,3703.08
T593,3699.15
T594,3658.14
T595,3809.06
T596,3813.65
T597,3782.81
T598,3831.04
T599,3839.90
T600,3775.59
T601,3822.51
