WellName,FlowDate,FlowRateAcFtPM,FlowRateCFS,FlowRateGPM
SW0132,10/1/2022,0,,
SW0132,11/1/2022,0,,
SW0132,12/1/2022,0,,
SW0132,1/1/2023,0,,
SW0132,2/1/2023,0,,
SW0132,3/1/2023,0,,
SW0132,4/1/2023,0,,
SW0132,5/1/2023,3.36,,
SW0132,6/1/2023,11.87,,
SW0132,7/1/2023,509.83,,
SW0132,8/1/2023,496.12,,
SW0132,9/1/2023,64.7,,
SW0238,10/1/2022,0,,
SW0238,11/1/2022,0,,
SW0238,12/1/2022,0,,
SW0238,1/1/2023,0,,
SW0238,2/1/2023,0,,
SW0238,3/1/2023,0,,
SW0238,4/1/2023,0,,
SW0238,5/1/2023,51.83,,
SW0238,6/1/2023,49.01,,
SW0238,7/1/2023,87.57,,
SW0238,8/1/2023,71.05,,
SW0238,9/1/2023,0,,
SW0239,10/1/2022,0,,
SW0239,11/1/2022,0,,
SW0239,12/1/2022,0,,
SW0239,1/1/2023,0,,
SW0239,2/1/2023,0,,
SW0239,3/1/2023,0,,
SW0239,4/1/2023,0,,
SW0239,5/1/2023,108.15,,
SW0239,6/1/2023,225.02,,
SW0239,7/1/2023,214.46,,
SW0239,8/1/2023,27.41,,
SW0239,9/1/2023,17.89,,
SW0108,10/1/2022,8.9,,
SW0108,11/1/2022,0.48,,
SW0108,12/1/2022,0.07,,
SW0108,1/1/2023,0.01,,
SW0108,2/1/2023,0.03,,
SW0108,3/1/2023,0.07,,
SW0108,4/1/2023,3.52,,
SW0108,5/1/2023,8.5,,
SW0108,6/1/2023,12.27,,
SW0108,7/1/2023,16.47,,
SW0108,8/1/2023,6.27,,
SW0108,9/1/2023,5.44,,
SW0034,10/1/2022,0,,
SW0034,11/1/2022,0,,
SW0034,12/1/2022,0,,
SW0034,1/1/2023,0,,
SW0034,2/1/2023,0,,
SW0034,3/1/2023,10.05,,
SW0034,4/1/2023,65.98,,
SW0034,5/1/2023,116.92,,
SW0034,6/1/2023,117.55,,
SW0034,7/1/2023,126.48,,
SW0034,8/1/2023,118.57,,
SW0034,9/1/2023,114.25,,
SW0142,10/1/2022,0,,
SW0142,11/1/2022,0,,
SW0142,12/1/2022,0,,
SW0142,1/1/2023,0,,
SW0142,2/1/2023,0,,
SW0142,3/1/2023,0,,
SW0142,4/1/2023,54.58,,
SW0142,5/1/2023,313.74,,
SW0142,6/1/2023,662.96,,
SW0142,7/1/2023,700.21,,
SW0142,8/1/2023,302.42,,
SW0142,9/1/2023,54.15,,
SW0201,10/1/2022,0,,
SW0201,11/1/2022,0,,
SW0201,12/1/2022,0,,
SW0201,1/1/2023,0,,
SW0201,2/1/2023,0,,
SW0201,3/1/2023,0,,
SW0201,4/1/2023,0,,
SW0201,5/1/2023,0,,
SW0201,6/1/2023,0,,
SW0201,7/1/2023,0,,
SW0201,8/1/2023,0,,
SW0201,9/1/2023,0,,
SW0240,10/1/2022,0,,
SW0240,11/1/2022,0,,
SW0240,12/1/2022,0,,
SW0240,1/1/2023,0,,
SW0240,2/1/2023,0,,
SW0240,3/1/2023,0,,
SW0240,4/1/2023,0,,
SW0240,5/1/2023,53.09,,
SW0240,6/1/2023,85.55,,
SW0240,7/1/2023,116.5,,
SW0240,8/1/2023,34,,
SW0240,9/1/2023,0,,
SW0257,10/1/2022,0,,
SW0257,11/1/2022,0,,
SW0257,12/1/2022,0,,
SW0257,1/1/2023,0,,
SW0257,2/1/2023,0,,
SW0257,3/1/2023,0,,
SW0257,4/1/2023,0,,
SW0257,5/1/2023,246.47,,
SW0257,6/1/2023,731.9,,
SW0257,7/1/2023,1944.16,,
SW0257,8/1/2023,705.78,,
SW0257,9/1/2023,0,,
SW0290,10/1/2022,0,,
SW0290,11/1/2022,0,,
SW0290,12/1/2022,0,,
SW0290,1/1/2023,0,,
SW0290,2/1/2023,0,,
SW0290,3/1/2023,0,,
SW0290,4/1/2023,0,,
SW0290,5/1/2023,2.36,,
SW0290,6/1/2023,32.05,,
SW0290,7/1/2023,44.47,,
SW0290,8/1/2023,0,,
SW0290,9/1/2023,0,,
SW0043,10/1/2022,443.95,,
SW0043,11/1/2022,143.96,,
SW0043,12/1/2022,169.58,,
SW0043,1/1/2023,224.02,,
SW0043,2/1/2023,193.28,,
SW0043,3/1/2023,271.93,,
SW0043,4/1/2023,456.15,,
SW0043,5/1/2023,951.06,,
SW0043,6/1/2023,857.35,,
SW0043,7/1/2023,735.43,,
SW0043,8/1/2023,369.52,,
SW0043,9/1/2023,282.71,,
SW0069,10/1/2022,110.5,,
SW0069,11/1/2022,108.01,,
SW0069,12/1/2022,114.05,,
SW0069,1/1/2023,127.56,,
SW0069,2/1/2023,132.65,,
SW0069,3/1/2023,176.39,,
SW0069,4/1/2023,340.13,,
SW0069,5/1/2023,717.17,,
SW0069,6/1/2023,977.25,,
SW0069,7/1/2023,1615.06,,
SW0069,8/1/2023,1086.88,,
SW0069,9/1/2023,588.68,,
SW0070,10/1/2022,64.56,,
SW0070,11/1/2022,52.68,,
SW0070,12/1/2022,61.04,,
SW0070,1/1/2023,87.55,,
SW0070,2/1/2023,81.63,,
SW0070,3/1/2023,104.77,,
SW0070,4/1/2023,269.14,,
SW0070,5/1/2023,1290.39,,
SW0070,6/1/2023,1956.33,,
SW0070,7/1/2023,2193.76,,
SW0070,8/1/2023,1075.38,,
SW0070,9/1/2023,429.81,,
SW0281,10/1/2022,0,,
SW0281,11/1/2022,0,,
SW0281,12/1/2022,0,,
SW0281,1/1/2023,0,,
SW0281,2/1/2023,0,,
SW0281,3/1/2023,0,,
SW0281,4/1/2023,0,,
SW0281,5/1/2023,0,,
SW0281,6/1/2023,72.58,,
SW0281,7/1/2023,464.55,,
SW0281,8/1/2023,276.07,,
SW0281,9/1/2023,133.83,,
SW0079,10/1/2022,235.45,,
SW0079,11/1/2022,164.8,,
SW0079,12/1/2022,230,,
SW0079,1/1/2023,371.77,,
SW0079,2/1/2023,221.7,,
SW0079,3/1/2023,628.99,,
SW0079,4/1/2023,1017.51,,
SW0079,5/1/2023,2424.29,,
SW0079,6/1/2023,3537.8,,
SW0079,7/1/2023,4576.71,,
SW0079,8/1/2023,2334.22,,
SW0079,9/1/2023,1303.87,,
SW0274,10/1/2022,0,,
SW0274,11/1/2022,0,,
SW0274,12/1/2022,0,,
SW0274,1/1/2023,0,,
SW0274,2/1/2023,0,,
SW0274,3/1/2023,0,,
SW0274,4/1/2023,7.74,,
SW0274,5/1/2023,11.03,,
SW0274,6/1/2023,19.39,,
SW0274,7/1/2023,75.24,,
SW0274,8/1/2023,40.03,,
SW0274,9/1/2023,0,,
SW0010,10/1/2022,695.6,,
SW0010,11/1/2022,38.57,,
SW0010,12/1/2022,0,,
SW0010,1/1/2023,0,,
SW0010,2/1/2023,0,,
SW0010,3/1/2023,678.62,,
SW0010,4/1/2023,5.25,,
SW0010,5/1/2023,1618.41,,
SW0010,6/1/2023,5464.31,,
SW0010,7/1/2023,6473.59,,
SW0010,8/1/2023,399,,
SW0010,9/1/2023,0,,
SW0099,10/1/2022,194.21,,
SW0099,11/1/2022,181.4,,
SW0099,12/1/2022,190.12,,
SW0099,1/1/2023,259.62,,
SW0099,2/1/2023,228.74,,
SW0099,3/1/2023,429.93,,
SW0099,4/1/2023,636,,
SW0099,5/1/2023,1243.54,,
SW0099,6/1/2023,1611.96,,
SW0099,7/1/2023,2151.97,,
SW0099,8/1/2023,874.8,,
SW0099,9/1/2023,127.59,,
SW0303,10/1/2022,139.2,,
SW0303,11/1/2022,86.25,,
SW0303,12/1/2022,92.63,,
SW0303,1/1/2023,105.06,,
SW0303,2/1/2023,68.04,,
SW0303,3/1/2023,64.62,,
SW0303,4/1/2023,79.21,,
SW0303,5/1/2023,176.99,,
SW0303,6/1/2023,195.35,,
SW0303,7/1/2023,471.83,,
SW0303,8/1/2023,226.54,,
SW0303,9/1/2023,427.29,,
SW0373,5/1/2023,52.18,,
SW0373,6/1/2023,136.72,,
SW0373,7/1/2023,91.65,,
SW0373,8/1/2023,2.65,,
SW0373,9/1/2023,0,,
SW0256,10/1/2022,0,,
SW0256,11/1/2022,0,,
SW0256,12/1/2022,0,,
SW0256,1/1/2023,0,,
SW0256,2/1/2023,0,,
SW0256,3/1/2023,0,,
SW0256,4/1/2023,0,,
SW0256,5/1/2023,0,,
SW0256,6/1/2023,0,,
SW0256,7/1/2023,0,,
SW0256,8/1/2023,0,,
SW0256,9/1/2023,0,,
SW0374,10/1/2022,0,,
SW0374,11/1/2022,0,,
SW0374,12/1/2022,0,,
SW0374,1/1/2023,0,,
SW0374,2/1/2023,0,,
SW0374,3/1/2023,0,,
SW0374,4/1/2023,7.93,,
SW0374,5/1/2023,72.77,,
SW0374,6/1/2023,147.86,,
SW0374,7/1/2023,159.28,,
SW0374,8/1/2023,205.47,,
SW0374,9/1/2023,24.79,,
SW0008,10/1/2022,1.08,,
SW0008,11/1/2022,1.89,,
SW0008,12/1/2022,2.88,,
SW0008,1/1/2023,1.71,,
SW0008,2/1/2023,1.59,,
SW0008,3/1/2023,3.61,,
SW0008,4/1/2023,2.6,,
SW0008,5/1/2023,6.12,,
SW0008,6/1/2023,67.74,,
SW0008,7/1/2023,53.69,,
SW0008,8/1/2023,84.11,,
SW0008,9/1/2023,42.04,,
SW0183,10/1/2022,9.5,,
SW0247,10/1/2022,0,,
SW0247,11/1/2022,0,,
SW0247,12/1/2022,0,,
SW0247,1/1/2023,0,,
SW0247,2/1/2023,0,,
SW0247,3/1/2023,0,,
SW0247,4/1/2023,0,,
SW0247,5/1/2023,0,,
SW0247,6/1/2023,0,,
SW0247,7/1/2023,0,,
SW0247,8/1/2023,0,,
SW0247,9/1/2023,0,,
SW0264,10/1/2022,0,,
SW0264,11/1/2022,0,,
SW0264,12/1/2022,0,,
SW0264,1/1/2023,0,,
SW0264,2/1/2023,0,,
SW0264,3/1/2023,0,,
SW0264,4/1/2023,10.91,,
SW0264,5/1/2023,68.69,,
SW0264,6/1/2023,21.53,,
SW0264,7/1/2023,86.21,,
SW0264,8/1/2023,40.65,,
SW0264,9/1/2023,3.77,,
SW0273,10/1/2022,0,,
SW0273,11/1/2022,0,,
SW0273,12/1/2022,0,,
SW0273,1/1/2023,0,,
SW0273,2/1/2023,0,,
SW0273,3/1/2023,0,,
SW0273,4/1/2023,0,,
SW0273,5/1/2023,0,,
SW0273,6/1/2023,0,,
SW0273,7/1/2023,0,,
SW0273,8/1/2023,0,,
SW0273,9/1/2023,0,,
SW0009,10/1/2022,7.61,,
SW0009,11/1/2022,0.04,,
SW0009,12/1/2022,0,,
SW0009,1/1/2023,0.96,,
SW0009,2/1/2023,0,,
SW0009,3/1/2023,30.34,,
SW0009,4/1/2023,31.13,,
SW0009,5/1/2023,167.73,,
SW0009,6/1/2023,96.62,,
SW0009,7/1/2023,32.29,,
SW0009,8/1/2023,35.2,,
SW0009,9/1/2023,36.84,,
SW0144,10/1/2022,0,,
SW0144,11/1/2022,0,,
SW0144,12/1/2022,0,,
SW0144,1/1/2023,0.4,,
SW0144,2/1/2023,0,,
SW0144,3/1/2023,13.21,,
SW0144,4/1/2023,36.65,,
SW0144,5/1/2023,21.08,,
SW0144,6/1/2023,28.59,,
SW0144,7/1/2023,18.82,,
SW0144,8/1/2023,42.62,,
SW0144,9/1/2023,59.66,,
SW0249,10/1/2022,0,,
SW0249,11/1/2022,0,,
SW0249,12/1/2022,0,,
SW0249,1/1/2023,0,,
SW0249,2/1/2023,0,,
SW0249,3/1/2023,0,,
SW0249,4/1/2023,0,,
SW0249,5/1/2023,0,,
SW0249,6/1/2023,0,,
SW0249,7/1/2023,0,,
SW0249,8/1/2023,0,,
SW0249,9/1/2023,0,,
SW0258,10/1/2022,0,,
SW0258,11/1/2022,0,,
SW0258,12/1/2022,0,,
SW0258,1/1/2023,0,,
SW0258,2/1/2023,0,,
SW0258,3/1/2023,0,,
SW0258,4/1/2023,0,,
SW0258,5/1/2023,0,,
SW0258,6/1/2023,0,,
SW0258,7/1/2023,0,,
SW0258,8/1/2023,0,,
SW0258,9/1/2023,0,,
SW0282,10/1/2022,0,,
SW0282,11/1/2022,0,,
SW0282,12/1/2022,0,,
SW0282,1/1/2023,0,,
SW0282,2/1/2023,0,,
SW0282,3/1/2023,0,,
SW0282,4/1/2023,0,,
SW0282,5/1/2023,0,,
SW0282,6/1/2023,0,,
SW0282,7/1/2023,0,,
SW0282,8/1/2023,0,,
SW0282,9/1/2023,0,,
SW0208,10/1/2022,70.54,,
SW0208,11/1/2022,74.09,,
SW0208,12/1/2022,75.44,,
SW0208,1/1/2023,83,,
SW0208,2/1/2023,73.61,,
SW0208,3/1/2023,125.12,,
SW0208,4/1/2023,92.48,,
SW0208,5/1/2023,41.34,,
SW0208,6/1/2023,29.75,,
SW0208,7/1/2023,30.74,,
SW0208,8/1/2023,96.2,,
SW0208,9/1/2023,104.13,,
SW0411,10/1/2022,0,,
SW0411,11/1/2022,0,,
SW0411,12/1/2022,0,,
SW0411,1/1/2023,0,,
SW0411,2/1/2023,0,,
SW0411,3/1/2023,357.16,,
SW0411,4/1/2023,0,,
SW0411,5/1/2023,497.83,,
SW0411,6/1/2023,3375.39,,
SW0411,7/1/2023,1547.11,,
SW0411,8/1/2023,0,,
SW0411,9/1/2023,0,,
SW0133,10/1/2022,0,,
SW0133,11/1/2022,0,,
SW0133,12/1/2022,0,,
SW0133,1/1/2023,0,,
SW0133,2/1/2023,0,,
SW0133,3/1/2023,0,,
SW0133,4/1/2023,0,,
SW0133,5/1/2023,314.1,,
SW0133,6/1/2023,648.79,,
SW0133,7/1/2023,1301.34,,
SW0133,8/1/2023,1123.91,,
SW0133,9/1/2023,706.71,,
SW0146,10/1/2022,0.08,,
SW0146,11/1/2022,0.66,,
SW0146,12/1/2022,0,,
SW0146,1/1/2023,3.64,,
SW0146,2/1/2023,0,,
SW0146,3/1/2023,2.33,,
SW0146,4/1/2023,63.71,,
SW0146,5/1/2023,184.69,,
SW0146,6/1/2023,294.48,,
SW0146,7/1/2023,234.31,,
SW0146,8/1/2023,65.72,,
SW0146,9/1/2023,62.1,,
SW0293,10/1/2022,0,,
SW0293,11/1/2022,0,,
SW0293,12/1/2022,0,,
SW0293,1/1/2023,0,,
SW0293,2/1/2023,0,,
SW0293,3/1/2023,0,,
SW0293,4/1/2023,0,,
SW0293,5/1/2023,66.17,,
SW0293,6/1/2023,259.16,,
SW0293,7/1/2023,394.5,,
SW0293,8/1/2023,333.87,,
SW0293,9/1/2023,2.74,,
SW0196,10/1/2022,0,,
SW0196,11/1/2022,0,,
SW0196,12/1/2022,0,,
SW0196,1/1/2023,0,,
SW0196,2/1/2023,0,,
SW0196,3/1/2023,0,,
SW0196,4/1/2023,0,,
SW0196,5/1/2023,85.22,,
SW0196,6/1/2023,802.58,,
SW0196,7/1/2023,170.32,,
SW0196,8/1/2023,0,,
SW0196,9/1/2023,0,,
SW0248,10/1/2022,0,,
SW0248,11/1/2022,0,,
SW0248,12/1/2022,0,,
SW0248,1/1/2023,0,,
SW0248,2/1/2023,0,,
SW0248,3/1/2023,0,,
SW0248,4/1/2023,35.1,,
SW0248,5/1/2023,286.94,,
SW0248,6/1/2023,407.65,,
SW0248,7/1/2023,266.42,,
SW0248,8/1/2023,130.16,,
SW0248,9/1/2023,30.6,,
SW0283,10/1/2022,0,,
SW0283,11/1/2022,0,,
SW0283,12/1/2022,0,,
SW0283,1/1/2023,0,,
SW0283,2/1/2023,0,,
SW0283,3/1/2023,0,,
SW0283,4/1/2023,0,,
SW0283,5/1/2023,0,,
SW0283,6/1/2023,7.05,,
SW0283,7/1/2023,453.84,,
SW0283,8/1/2023,427.61,,
SW0283,9/1/2023,0,,
SW0011,10/1/2022,166.95,,
SW0011,11/1/2022,120.19,,
SW0011,12/1/2022,167.67,,
SW0011,1/1/2023,319.83,,
SW0011,2/1/2023,182.58,,
SW0011,3/1/2023,631.96,,
SW0011,4/1/2023,970.29,,
SW0011,5/1/2023,2476.81,,
SW0011,6/1/2023,3268.76,,
SW0011,7/1/2023,3096.35,,
SW0011,8/1/2023,2009.45,,
SW0011,9/1/2023,2123.54,,
SW0305,10/1/2022,0,,
SW0305,11/1/2022,0,,
SW0305,12/1/2022,0,,
SW0305,1/1/2023,0,,
SW0305,2/1/2023,0,,
SW0305,3/1/2023,0,,
SW0305,4/1/2023,0,,
SW0305,5/1/2023,0,,
SW0305,6/1/2023,21.46,,
SW0305,7/1/2023,78.05,,
SW0305,8/1/2023,57.83,,
SW0305,9/1/2023,149.75,,
SW0404,10/1/2022,2.44,,
SW0404,11/1/2022,2.46,,
SW0404,12/1/2022,2.38,,
SW0404,1/1/2023,2.58,,
SW0404,2/1/2023,2.44,,
SW0404,3/1/2023,2.82,,
SW0404,4/1/2023,2.64,,
SW0404,5/1/2023,2.72,,
SW0404,6/1/2023,2.64,,
SW0404,7/1/2023,2.72,,
SW0404,8/1/2023,2.72,,
SW0404,9/1/2023,2.64,,
SW0002,10/1/2022,80.96,,
SW0002,11/1/2022,66.85,,
SW0002,12/1/2022,82.32,,
SW0002,1/1/2023,106.32,,
SW0002,2/1/2023,63.49,,
SW0002,3/1/2023,351.36,,
SW0002,4/1/2023,351.15,,
SW0002,5/1/2023,1000.44,,
SW0002,6/1/2023,1658.88,,
SW0002,7/1/2023,3254.91,,
SW0002,8/1/2023,497.68,,
SW0002,9/1/2023,372.64,,
SW0051,10/1/2022,0,,
SW0051,11/1/2022,0,,
SW0051,12/1/2022,0,,
SW0051,1/1/2023,0.28,,
SW0051,2/1/2023,0.61,,
SW0051,3/1/2023,3.09,,
SW0051,4/1/2023,12.69,,
SW0051,5/1/2023,39.29,,
SW0051,6/1/2023,7.93,,
SW0051,7/1/2023,18.49,,
SW0051,8/1/2023,66.36,,
SW0051,9/1/2023,32.57,,
SW0134,10/1/2022,0,,
SW0134,11/1/2022,0,,
SW0134,12/1/2022,0,,
SW0134,1/1/2023,0,,
SW0134,2/1/2023,0,,
SW0134,3/1/2023,0,,
SW0266,10/1/2022,0,,
SW0266,11/1/2022,0,,
SW0266,12/1/2022,0,,
SW0266,1/1/2023,0,,
SW0266,2/1/2023,0,,
SW0266,3/1/2023,251.32,,
SW0266,4/1/2023,227.45,,
SW0266,5/1/2023,1041.13,,
SW0266,6/1/2023,1309.64,,
SW0266,7/1/2023,810.02,,
SW0266,8/1/2023,481.03,,
SW0266,9/1/2023,144.26,,
SW0275,10/1/2022,0,,
SW0275,11/1/2022,0,,
SW0275,12/1/2022,0,,
SW0275,1/1/2023,0,,
SW0275,2/1/2023,0,,
SW0275,3/1/2023,0,,
SW0275,4/1/2023,5.51,,
SW0275,5/1/2023,7.16,,
SW0275,6/1/2023,4.4,,
SW0275,7/1/2023,43.57,,
SW0275,8/1/2023,25.48,,
SW0275,9/1/2023,0,,
SW0071,10/1/2022,177.63,,
SW0071,11/1/2022,152.5,,
SW0071,12/1/2022,199.88,,
SW0071,1/1/2023,302.49,,
SW0071,2/1/2023,220.52,,
SW0071,3/1/2023,605.07,,
SW0071,4/1/2023,1218.88,,
SW0071,5/1/2023,4399.22,,
SW0071,6/1/2023,6175.94,,
SW0071,7/1/2023,6630.49,,
SW0071,8/1/2023,2899.92,,
SW0071,9/1/2023,1120.64,,
SW0072,10/1/2022,156.09,,
SW0072,11/1/2022,138.3,,
SW0072,12/1/2022,169.3,,
SW0072,1/1/2023,298.5,,
SW0072,2/1/2023,199.67,,
SW0072,3/1/2023,609.01,,
SW0072,4/1/2023,1193.93,,
SW0072,5/1/2023,4384,,
SW0072,6/1/2023,5360.81,,
SW0072,7/1/2023,4447.24,,
SW0072,8/1/2023,2007.73,,
SW0072,9/1/2023,887.54,,
SW0080,10/1/2022,46.07,,
SW0080,11/1/2022,71.11,,
SW0080,12/1/2022,44.38,,
SW0080,1/1/2023,60.57,,
SW0080,2/1/2023,78.48,,
SW0080,3/1/2023,239.98,,
SW0080,4/1/2023,652.23,,
SW0080,5/1/2023,2163.28,,
SW0080,6/1/2023,1590.39,,
SW0080,7/1/2023,732.31,,
SW0080,8/1/2023,851.59,,
SW0080,9/1/2023,262.67,,
SW0081,10/1/2022,0,,
SW0081,11/1/2022,0,,
SW0081,12/1/2022,6.08,,
SW0081,1/1/2023,18.96,,
SW0081,2/1/2023,0.46,,
SW0081,3/1/2023,63.86,,
SW0081,4/1/2023,74.79,,
SW0081,5/1/2023,91.56,,
SW0081,6/1/2023,73.56,,
SW0081,7/1/2023,14.83,,
SW0081,8/1/2023,19.35,,
SW0081,9/1/2023,22.78,,
SW0193,10/1/2022,0,,
SW0193,11/1/2022,0,,
SW0193,12/1/2022,0,,
