WellName,last.staid,current.staid
F037,F037,NA
F124,F124,NA
T325A,T325A,NA
T439,T439,NA
T451,T451,NA
T497,T497,NA
T498,T498,NA
T748,T748,NA
T749,T749,NA
T752,T752,NA
T755,T755,NA
TN70A,TN70A,NA
TN70B,TN70B,NA
TN70C,TN70C,NA
TN72B,TN72B,NA
TN841,TN841,NA
TN861,TN861,NA
TN862,TN862,NA
TN863,TN863,NA
TN864,TN864,NA
TN865,TN865,NA
TN866,TN866,NA
TN93A,TN93A,NA
TN93B,TN93B,NA
TN93C,TN93C,NA
TN93D,TN93D,NA
TN93E,TN93E,NA
V149,V149,NA
V208,V208,NA
V297,V297,NA
V298,V298,NA
V327,V327,NA
VN307,VN307,NA
VN308,VN308,NA
VN309,VN309,NA
